"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Súčasná ekonomická aktivita";"abs."
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;2
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;1855
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1708
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);dôverné;43
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);nezistené;847
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);10501
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;530
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;38
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;42
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);nezamestnaný;419
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);žiak strednej školy;533
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);študent vysokej školy;366
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);osoba v domácnosti;562
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);dôchodca;382
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;202
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);iná;56
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);žiak základnej školy;56
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);dôverné;21
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1509
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);dôchodca;2526
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;12
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);nezistené;6
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;1828
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1598
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);dôverné;60
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);nezistené;701
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);8811
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;667
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;189
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;593
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);nezamestnaný;454
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);žiak strednej školy;580
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);študent vysokej školy;388
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1371
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);dôchodca;520
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;205
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);iná;9
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);žiak základnej školy;46
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);dôverné;10
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1242
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);osoba na rodičovskej dovolenke;1
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);dôchodca;4576
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;14
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);nezistené;1
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;4
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;4914
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4927
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);dôverné;40
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);nezistené;1891
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);28411
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1576
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;86
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;106
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);nezamestnaný;1502
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);žiak strednej školy;1730
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);študent vysokej školy;975
