,Pohlavie,nazov_kraja,Súčasná ekonomická aktivita,abs.
0,Muži,Banskobystrický kraj,Deti a žiaci ZŠ,74923
1,Muži,Banskobystrický kraj,Ostatní závislí,512
2,Muži,Banskobystrický kraj,dôchodcovia,46450
3,Muži,Banskobystrický kraj,hľadajúci zamestnanie,8040
4,Muži,Banskobystrický kraj,iné,151779
5,Muži,Banskobystrický kraj,na materskej dovolenke,10
6,Muži,Banskobystrický kraj,pomáhajúci,27
7,Muži,Banskobystrický kraj,pracujúci dôhodcovia,6334
8,Muži,Banskobystrický kraj,s vl. zdrojom obživy,0
9,Muži,Banskobystrický kraj,stredných škôl,7043
10,Muži,Banskobystrický kraj,učilíšť (SOU),9459
11,Muži,Banskobystrický kraj,vysokých škôl,3079
12,Muži,Banskobystrický kraj,Ženy v domácnosti,0
13,Muži,Bratislavský kraj,Deti a žiaci ZŠ,69292
14,Muži,Bratislavský kraj,Ostatní závislí,449
15,Muži,Bratislavský kraj,dôchodcovia,33872
16,Muži,Bratislavský kraj,hľadajúci zamestnanie,7138
17,Muži,Bratislavský kraj,iné,143040
18,Muži,Bratislavský kraj,na materskej dovolenke,14
19,Muži,Bratislavský kraj,pomáhajúci,22
20,Muži,Bratislavský kraj,pracujúci dôhodcovia,5219
21,Muži,Bratislavský kraj,s vl. zdrojom obživy,15
22,Muži,Bratislavský kraj,stredných škôl,7654
23,Muži,Bratislavský kraj,učilíšť (SOU),7954
24,Muži,Bratislavský kraj,vysokých škôl,4764
25,Muži,Bratislavský kraj,Ženy v domácnosti,0
26,Muži,Košický kraj,Deti a žiaci ZŠ,103225
27,Muži,Košický kraj,Ostatní závislí,884
28,Muži,Košický kraj,dôchodcovia,50765
29,Muži,Košický kraj,hľadajúci zamestnanie,12974
30,Muži,Košický kraj,iné,187456
31,Muži,Košický kraj,na materskej dovolenke,11
32,Muži,Košický kraj,pomáhajúci,30
33,Muži,Košický kraj,pracujúci dôhodcovia,6544
34,Muži,Košický kraj,s vl. zdrojom obživy,4
35,Muži,Košický kraj,stredných škôl,9179
36,Muži,Košický kraj,učilíšť (SOU),12335
37,Muži,Košický kraj,vysokých škôl,4844
38,Muži,Košický kraj,Ženy v domácnosti,0
39,Muži,Nitriansky kraj,Deti a žiaci ZŠ,86678
40,Muži,Nitriansky kraj,Ostatní závislí,674
41,Muži,Nitriansky kraj,dôchodcovia,55110
42,Muži,Nitriansky kraj,hľadajúci zamestnanie,9084
43,Muži,Nitriansky kraj,iné,185779
44,Muži,Nitriansky kraj,na materskej dovolenke,5
45,Muži,Nitriansky kraj,pomáhajúci,50
46,Muži,Nitriansky kraj,pracujúci dôhodcovia,4711
47,Muži,Nitriansky kraj,s vl. zdrojom obživy,1
48,Muži,Nitriansky kraj,stredných škôl,8763
49,Muži,Nitriansky kraj,učilíšť (SOU),12337
50,Muži,Nitriansky kraj,vysokých škôl,3730
51,Muži,Nitriansky kraj,Ženy v domácnosti,0
52,Muži,Prešovský kraj,Deti a žiaci ZŠ,100859
53,Muži,Prešovský kraj,Ostatní závislí,252
54,Muži,Prešovský kraj,dôchodcovia,43728
55,Muži,Prešovský kraj,hľadajúci zamestnanie,9909
56,Muži,Prešovský kraj,iné,168297
57,Muži,Prešovský kraj,na materskej dovolenke,3
58,Muži,Prešovský kraj,pomáhajúci,14
59,Muži,Prešovský kraj,pracujúci dôhodcovia,4197
60,Muži,Prešovský kraj,s vl. zdrojom obživy,0
61,Muži,Prešovský kraj,stredných škôl,7539
62,Muži,Prešovský kraj,učilíšť (SOU),11410
63,Muži,Prešovský kraj,vysokých škôl,4261
64,Muži,Prešovský kraj,Ženy v domácnosti,0
65,Muži,Trenčiansky kraj,Deti a žiaci ZŠ,60077
66,Muži,Trenčiansky kraj,Ostatní závislí,117
67,Muži,Trenčiansky kraj,dôchodcovia,33637
