,Názov kraja,Pohlavie,Súčasná ekonomická aktivita,abs.
0,Bratislavský kraj,Muži,na materskej dovolenke,67
1,Bratislavský kraj,Muži,pracujúci dôhodcovia,7931
2,Bratislavský kraj,Muži,vypomáhajúci v rod. podniku,86
3,Bratislavský kraj,Muži,nezamestnaní,17664
4,Bratislavský kraj,Muži,iné,138059
5,Bratislavský kraj,Ženy,na materskej dovolenke,12449
6,Bratislavský kraj,Ženy,pracujúci dôhodcovia,13132
7,Bratislavský kraj,Ženy,vypomáhajúci v rod. podniku,279
8,Bratislavský kraj,Ženy,nezamestnaní,14737
9,Bratislavský kraj,Ženy,iné,126950
10,Bratislavský kraj,Muži,dôchodca,33542
11,Bratislavský kraj,Muži,nezávislí,4850
12,Bratislavský kraj,Muži,deti a žiaci ZŠ,51189
13,Bratislavský kraj,Muži,žiak z učilíšť,3104
14,Bratislavský kraj,Muži,žiak strednej školy,10226
15,Bratislavský kraj,Muži,študent vysokej školy,8364
16,Bratislavský kraj,Muži,nezistené,8301
17,Bratislavský kraj,Ženy,dôchodca,62370
18,Bratislavský kraj,Ženy,nezávislí,2998
19,Bratislavský kraj,Ženy,deti a žiaci ZŠ,48969
20,Bratislavský kraj,Ženy,žiak z učilíšť,1433
21,Bratislavský kraj,Ženy,žiak strednej školy,11500
22,Bratislavský kraj,Ženy,študent vysokej školy,8105
23,Bratislavský kraj,Ženy,nezistené,12710
24,Trnavský kraj,Muži,na materskej dovolenke,109
25,Trnavský kraj,Muži,pracujúci dôhodcovia,964
26,Trnavský kraj,Muži,vypomáhajúci v rod. podniku,98
27,Trnavský kraj,Muži,nezamestnaní,27490
28,Trnavský kraj,Muži,iné,120046
29,Trnavský kraj,Ženy,na materskej dovolenke,14180
30,Trnavský kraj,Ženy,pracujúci dôhodcovia,1599
31,Trnavský kraj,Ženy,vypomáhajúci v rod. podniku,248
32,Trnavský kraj,Ženy,nezamestnaní,22142
33,Trnavský kraj,Ženy,iné,95256
34,Trnavský kraj,Muži,dôchodca,40190
35,Trnavský kraj,Muži,nezávislí,4406
36,Trnavský kraj,Muži,deti a žiaci ZŠ,54469
37,Trnavský kraj,Muži,žiak z učilíšť,3754
38,Trnavský kraj,Muži,žiak strednej školy,7178
39,Trnavský kraj,Muži,študent vysokej školy,4321
40,Trnavský kraj,Muži,nezistené,5448
41,Trnavský kraj,Ženy,dôchodca,68515
42,Trnavský kraj,Ženy,nezávislí,2981
43,Trnavský kraj,Ženy,deti a žiaci ZŠ,51932
44,Trnavský kraj,Ženy,žiak z učilíšť,1871
45,Trnavský kraj,Ženy,žiak strednej školy,9194
46,Trnavský kraj,Ženy,študent vysokej školy,4500
47,Trnavský kraj,Ženy,nezistené,10112
48,Trenčiansky kraj,Muži,na materskej dovolenke,165
49,Trenčiansky kraj,Muži,pracujúci dôhodcovia,4669
50,Trenčiansky kraj,Muži,vypomáhajúci v rod. podniku,86
51,Trenčiansky kraj,Muži,nezamestnaní,28377
52,Trenčiansky kraj,Muži,iné,130979
53,Trenčiansky kraj,Ženy,na materskej dovolenke,15754
54,Trenčiansky kraj,Ženy,pracujúci dôhodcovia,6392
55,Trenčiansky kraj,Ženy,vypomáhajúci v rod. podniku,228
56,Trenčiansky kraj,Ženy,nezamestnaní,20455
57,Trenčiansky kraj,Ženy,iné,107447
58,Trenčiansky kraj,Muži,dôchodca,44438
59,Trenčiansky kraj,Muži,nezávislí,3987
60,Trenčiansky kraj,Muži,deti a žiaci ZŠ,60777
61,Trenčiansky kraj,Muži,žiak z učilíšť,4196
