,Názov kraja,Názov okresu,Pohlavie,Súčasná ekonomická aktivita,abs.
0,Bratislavský kraj,Okres Bratislava I,Muži,na materskej dovolenke,5
1,Bratislavský kraj,Okres Bratislava I,Muži,pracujúci dôhodcovia,1016
2,Bratislavský kraj,Okres Bratislava I,Muži,vypomáhajúci v rod. podniku,8
3,Bratislavský kraj,Okres Bratislava I,Muži,nezamestnaní,1009
4,Bratislavský kraj,Okres Bratislava I,Muži,iné,9235
5,Bratislavský kraj,Okres Bratislava I,Ženy,na materskej dovolenke,757
6,Bratislavský kraj,Okres Bratislava I,Ženy,pracujúci dôhodcovia,1670
7,Bratislavský kraj,Okres Bratislava I,Ženy,vypomáhajúci v rod. podniku,23
8,Bratislavský kraj,Okres Bratislava I,Ženy,nezamestnaní,781
9,Bratislavský kraj,Okres Bratislava I,Ženy,iné,8706
10,Bratislavský kraj,Okres Bratislava I,Muži,dôchodca,3132
11,Bratislavský kraj,Okres Bratislava I,Muži,nezávislí,475
12,Bratislavský kraj,Okres Bratislava I,Muži,deti a žiaci ZŠ,3005
13,Bratislavský kraj,Okres Bratislava I,Muži,žiak z učilíšť,61
14,Bratislavský kraj,Okres Bratislava I,Muži,žiak strednej školy,725
15,Bratislavský kraj,Okres Bratislava I,Muži,študent vysokej školy,1016
16,Bratislavský kraj,Okres Bratislava I,Muži,nezistené,865
17,Bratislavský kraj,Okres Bratislava I,Ženy,dôchodca,6227
18,Bratislavský kraj,Okres Bratislava I,Ženy,nezávislí,345
19,Bratislavský kraj,Okres Bratislava I,Ženy,deti a žiaci ZŠ,2807
20,Bratislavský kraj,Okres Bratislava I,Ženy,žiak z učilíšť,24
21,Bratislavský kraj,Okres Bratislava I,Ženy,žiak strednej školy,665
22,Bratislavský kraj,Okres Bratislava I,Ženy,študent vysokej školy,928
23,Bratislavský kraj,Okres Bratislava I,Ženy,nezistené,1313
24,Bratislavský kraj,Okres Bratislava II,Muži,na materskej dovolenke,19
25,Bratislavský kraj,Okres Bratislava II,Muži,pracujúci dôhodcovia,1720
26,Bratislavský kraj,Okres Bratislava II,Muži,vypomáhajúci v rod. podniku,16
27,Bratislavský kraj,Okres Bratislava II,Muži,nezamestnaní,2810
28,Bratislavský kraj,Okres Bratislava II,Muži,iné,23331
29,Bratislavský kraj,Okres Bratislava II,Ženy,na materskej dovolenke,2240
30,Bratislavský kraj,Okres Bratislava II,Ženy,pracujúci dôhodcovia,2969
31,Bratislavský kraj,Okres Bratislava II,Ženy,vypomáhajúci v rod. podniku,47
32,Bratislavský kraj,Okres Bratislava II,Ženy,nezamestnaní,2393
33,Bratislavský kraj,Okres Bratislava II,Ženy,iné,22078
34,Bratislavský kraj,Okres Bratislava II,Muži,dôchodca,7711
35,Bratislavský kraj,Okres Bratislava II,Muži,nezávislí,778
36,Bratislavský kraj,Okres Bratislava II,Muži,deti a žiaci ZŠ,8532
37,Bratislavský kraj,Okres Bratislava II,Muži,žiak z učilíšť,341
38,Bratislavský kraj,Okres Bratislava II,Muži,žiak strednej školy,1382
39,Bratislavský kraj,Okres Bratislava II,Muži,študent vysokej školy,1284
40,Bratislavský kraj,Okres Bratislava II,Muži,nezistené,1704
41,Bratislavský kraj,Okres Bratislava II,Ženy,dôchodca,14325
42,Bratislavský kraj,Okres Bratislava II,Ženy,nezávislí,490
43,Bratislavský kraj,Okres Bratislava II,Ženy,deti a žiaci ZŠ,8333
44,Bratislavský kraj,Okres Bratislava II,Ženy,žiak z učilíšť,202
45,Bratislavský kraj,Okres Bratislava II,Ženy,žiak strednej školy,1454
46,Bratislavský kraj,Okres Bratislava II,Ženy,študent vysokej školy,1321
47,Bratislavský kraj,Okres Bratislava II,Ženy,nezistené,2659
48,Bratislavský kraj,Okres Bratislava III,Muži,na materskej dovolenke,8
49,Bratislavský kraj,Okres Bratislava III,Muži,pracujúci dôhodcovia,1059
50,Bratislavský kraj,Okres Bratislava III,Muži,vypomáhajúci v rod. podniku,7
51,Bratislavský kraj,Okres Bratislava III,Muži,nezamestnaní,1447
52,Bratislavský kraj,Okres Bratislava III,Muži,iné,13381
53,Bratislavský kraj,Okres Bratislava III,Ženy,na materskej dovolenke,1158
54,Bratislavský kraj,Okres Bratislava III,Ženy,pracujúci dôhodcovia,1712
55,Bratislavský kraj,Okres Bratislava III,Ženy,vypomáhajúci v rod. podniku,21
56,Bratislavský kraj,Okres Bratislava III,Ženy,nezamestnaní,1129
