,Kód kraja,Názov kraja,Kód okresu,Názov okresu,Súčasná ekonomická aktivita,Pohlavie,Vek,abs.
1,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),muži,0-4,1034.0
2,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),muži,10-14,547.0
3,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),muži,15-19,145.0
4,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),muži,5-9,744.0
5,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),muži,nezistený,0.0
8,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),ženy,0-4,967.0
9,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),ženy,10-14,589.0
10,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),ženy,15-19,107.0
11,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),ženy,5-9,758.0
12,1,Bratislavský kraj,101,Okres Bratislava I,deti do 16 rokov (nar. po 20.05.1995),ženy,nezistený,2.0
14,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,100-104,3.0
15,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,105+,0.0
16,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,15-19,0.0
17,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,20-24,5.0
18,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,25-29,6.0
19,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,30-34,91.0
20,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,35-39,111.0
21,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,40-44,100.0
22,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,45-49,85.0
23,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,50-54,127.0
24,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,55-59,226.0
25,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,60-64,547.0
26,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,65-69,579.0
27,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,70-74,470.0
28,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,75-79,379.0
29,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,80-84,416.0
30,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,85-89,298.0
31,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,90-94,70.0
32,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,95-99,13.0
33,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,muži,nezistený,0.0
36,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,100-104,1.0
37,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,105+,0.0
38,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,15-19,0.0
39,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,20-24,3.0
40,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,25-29,4.0
41,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,30-34,84.0
42,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,35-39,85.0
43,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,40-44,77.0
44,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,45-49,77.0
45,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,50-54,140.0
46,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,55-59,387.0
47,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,60-64,950.0
48,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,65-69,958.0
49,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,70-74,705.0
50,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,75-79,795.0
51,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,80-84,930.0
